,Bush,Kerr,Nade,Chen,Edwa,LBus,HCli,BCli,Powe,Ashc,McCa,DemP,RepP
2207,15,85,30,0,70,60,85,85,70,0,70,70,15
2208,85,40,85,70,50,90,35,35,90,80,90,70,70
2209,85,40,60,70,50,85,0,15,70,60,70,30,60
2210,70,40,50,70,50,85,30,30,60,40,50,60,70
2211,15,70,0,0,70,60,85,100,60,15,70,70,15
2212,30,85,15,0,85,70,85,100,60,30,70,30,85
2213,50,85,50,50,50,50,50,0,75,50,85,70,50
2214,70,50,30,60,70,85,40,30,85,50,50,40,85
2215,100,0,50,50,0,70,0,0,70,50,70,0,70
2216,45,60,15,70,55,50,65,75,90,60,50,70,60
2217,60,60,50,60,60,40,70,85,70,70,50,70,70
2218,0,100,0,0,100,50,100,100,100,50,50,85,70
